County,State,2016,2017,2018
Appling,GA,30860,32080,33268
Atkinson,GA,26599,28764,30511
Bacon,GA,31025,32775,33080
Baker,GA,36061,35725,38666
Baldwin,GA,30637,31950,33203
Banks,GA,32945,35226,36276
Barrow,GA,34232,35560,36898
Bartow,GA,36124,36844,38298
Ben Hill,GA,29201,29877,31436
Berrien,GA,28453,30179,31535
Bibb,GA,38687,39928,41709
Bleckley,GA,31002,32278,33672
Brantley,GA,26424,26353,27413
Brooks,GA,32586,33137,34944
Bryan,GA,49828,50022,52456
Bulloch,GA,30191,30825,32382
Burke,GA,33580,34394,35524
Butts,GA,31207,32818,34297
Calhoun,GA,22951,24763,24638
Camden,GA,33737,34832,36113
Candler,GA,27914,30023,31385
Carroll,GA,35682,36814,38571
Catoosa,GA,33115,34048,35158
Charlton,GA,23420,24489,24976
Chatham,GA,43299,45061,47563
Chattahoochee,GA,30210,30926,31115
Chattooga,GA,28538,29836,30946
Cherokee,GA,47813,49084,51137
Clarke,GA,31736,32419,33970
Clay,GA,29216,29492,31520
Clayton,GA,26702,27058,28020
Clinch,GA,35716,36580,37548
Cobb,GA,51457,54559,57162
Coffee,GA,29215,30988,32644
Colquitt,GA,30034,31859,32526
Columbia,GA,46821,47688,49473
Cook,GA,29733,31086,32524
Coweta,GA,43253,44612,46438
Crawford,GA,31990,33208,33784
Crisp,GA,29495,31206,32540
Dade,GA,32265,33720,35640
Dawson,GA,42386,43455,45201
Decatur,GA,33932,35252,36150
DeKalb,GA,45522,48557,50871
Dodge,GA,28389,29702,30682
Dooly,GA,26161,27631,28297
Dougherty,GA,33743,34354,34744
Douglas,GA,33168,33855,35230
Early,GA,37001,37889,38945
Echols,GA,25611,27281,27880
Effingham,GA,38513,40037,41942
Elbert,GA,33031,34508,35448
Emanuel,GA,30104,32066,32187
Evans,GA,33186,33877,35212
Fannin,GA,32567,34431,35727
Fayette,GA,58295,60677,63515
Floyd,GA,36054,37003,38524
Forsyth,GA,59451,60227,62580
Franklin,GA,34213,35508,36672
Fulton,GA,75987,80683,84386
Gilmer,GA,32724,34102,35419
Glascock,GA,33238,32814,33931
Glynn,GA,41914,43642,46073
Gordon,GA,32428,35514,36947
Grady,GA,31138,33524,34899
Greene,GA,50359,53496,55396
Gwinnett,GA,38629,39738,41458
Habersham,GA,31893,32780,33925
Hall,GA,39946,41856,43701
Hancock,GA,27046,28261,29917
Haralson,GA,33941,35121,36508
Harris,GA,44439,45538,47469
Hart,GA,34264,36219,38125
Heard,GA,29431,30076,31144
Henry,GA,36748,37619,39184
Houston,GA,39991,41105,42625
Irwin,GA,28698,30745,32824
Jackson,GA,39379,40832,42211
Jasper,GA,35403,39111,40606
Jeff Davis,GA,28567,28671,29943
Jefferson,GA,31409,32925,34034
Jenkins,GA,28179,28005,29250
Johnson,GA,24388,24822,26195
Jones,GA,34947,36159,37618
Lamar,GA,31106,32395,33079
Lanier,GA,25133,26281,27561
Laurens,GA,34652,35528,37372
Lee,GA,43544,45415,47258
Liberty,GA,33183,34163,35805
Lincoln,GA,34481,35936,37333
Long,GA,26099,26268,27071
Lowndes,GA,34869,35817,37443
Lumpkin,GA,34628,35288,37427
McDuffie,GA,34013,35656,36982
McIntosh,GA,28014,28377,29519
Macon,GA,28341,30237,31028
Madison,GA,33761,35261,36557
Marion,GA,26862,28317,29333
Meriwether,GA,32739,33285,34847
Miller,GA,36026,38229,40826
Mitchell,GA,32307,33964,35069
Monroe,GA,41767,43106,44790
Montgomery,GA,28834,28562,29408
Morgan,GA,45564,48982,50541
Murray,GA,28105,28986,29968
Muscogee,GA,40718,42083,44149
Newton,GA,31601,32456,33750
Oconee,GA,60296,64194,66740
Oglethorpe,GA,35391,36456,37709
Paulding,GA,35196,36276,37727
Peach,GA,35668,37173,38066
Pickens,GA,44457,45890,47887
Pierce,GA,33494,34908,36065
Pike,GA,37636,38423,39851
Polk,GA,30779,31150,32368
Pulaski,GA,28017,29034,30358
Putnam,GA,38731,40236,41839
Quitman,GA,27893,28699,30902
Rabun,GA,38505,39632,41128
Randolph,GA,28739,31453,33238
Richmond,GA,35032,36820,38196
Rockdale,GA,33440,33842,35244
Schley,GA,28610,29949,30931
Screven,GA,31699,33079,35010
Seminole,GA,38009,39963,40217
Spalding,GA,32904,33422,34772
Stephens,GA,36908,37831,38915
Stewart,GA,21153,21665,22771
Sumter,GA,32738,34522,35847
Talbot,GA,32396,33643,34504
Taliaferro,GA,32218,32719,33927
Tattnall,GA,26339,27812,28406
Taylor,GA,31322,29253,30141
Telfair,GA,19869,20338,20923
Terrell,GA,37009,38110,40325
Thomas,GA,40280,42097,44355
Tift,GA,35361,36148,37805
Toombs,GA,33720,33992,35517
Towns,GA,34874,35901,37858
Treutlen,GA,28097,29216,30119
Troup,GA,34884,34951,36476
Turner,GA,31706,33212,34396
Twiggs,GA,35817,37784,39530
Union,GA,34304,35166,36581
Upson,GA,33478,33922,35133
Walker,GA,30929,31704,32826
Walton,GA,37355,39022,40458
Ware,GA,31917,32763,33906
Warren,GA,32297,33231,34598
Washington,GA,32836,34386,35296
Wayne,GA,28970,30164,31954
Webster,GA,30591,32211,33109
Wheeler,GA,18257,19010,19631
White,GA,32388,33680,34961
Whitfield,GA,36201,37278,38752
Wilcox,GA,24278,26014,26712
Wilkes,GA,37483,38339,39472
Wilkinson,GA,33883,34285,35204
Worth,GA,31071,32540,34380
